phishing,shareholder value destruction,food safety,denial-of-service,negative media coverage,key employee departure,,SEC investigation,outsourcing risk,,environmental remediation,damaged supplier reputation,significant financial loss,debt covenant violation
inadequate information safeguards,market value erosion,product safety concern,service degradation,adverse publicity,executive leadership failure,,DOJ investigation,supply chain ethics,,climate risk,reputational contagion,criminal prosecution,capital market access
data protection failure,return on equity decline,regulatory clearance failure,platform outage,reputational attack,employee turnover,,consent decree,,,ESG violation,upstream partner failure,civil penalty,strategic investment failure
IT security failure,accounting fraud,product cancellation,production downtime,ESG pressure,inability to retain staff,,audit committee failure,,,net zero failure,joint venture failure,,acquisition failure
customer data exposure,financial misstatement,design defect,IT outage,NGO pressure,,,workplace harassment,,,climate transition risk,alliance failure,,M&A risk
proprietary information leak,financial restatement,subcontractor oversight failure,service unavailability,media campaign,,,discriminatory practices,,,,dependence on third-party platforms,,integration failure
identity theft,insider trading,non-sterile manufacturing,,,,,discrimination,,,,contractual obligation failure,,failed acquisition
credential theft,securities fraud,,,,,,sexual harassment,,,,product theft during transportation,,value destruction from acquisition
unauthorized disclosure,misappropriation,,,,,,gender discrimination,,,,delay in product delivery,,
denial-of-service attack,embezzlement,,,,,,racial discrimination,,,,transportation disruption,,
zero-day vulnerability,financial irregularity,,,,,,hostile work environment,,,,port shutdown,,
nation-state attack,audit failure,,,,,,Title VII violation,,,,cargo theft,,
social engineering,earnings manipulation,,,,,,disability discrimination,,,,logistics failure,,
third-party data breach,revenue recognition fraud,,,,,,age discrimination,,,,supply chain logistics failure,,
cloud data breach,channel stuffing,,,,,,whistleblower,,,,,,
trade secret theft,market manipulation,,,,,,retaliation,,,,,,
intellectual property theft,false financial statement,,,,,,whistleblower retaliation,,,,,,
data integrity failure,fraudulent reporting,,,,,,protected disclosure,,,,,,
information leakage,,,,,,,Sarbanes-Oxley retaliation,,,,,,
loss of confidential data,,,,,,,Dodd-Frank retaliation,,,,,,
,,,,,,,bribery,,,,,,
,,,,,,,corruption,,,,,,
,,,,,,,FCPA,,,,,,
,,,,,,,Foreign Corrupt Practices Act,,,,,,
,,,,,,,UK Bribery Act,,,,,,
,,,,,,,anti-bribery,,,,,,
,,,,,,,anti-corruption,,,,,,
,,,,,,,kickback,,,,,,
,,,,,,,improper payment,,,,,,
,,,,,,,facilitation payment,,,,,,
,,,,,,,bribe,,,,,,
,,,,,,,extortion,,,,,,
